Name_de,Berufshauptgruppe,probability,isco08
Schauspieler,2,0.0651,2655
Richter,2,0.4679,2612
"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,0.655,3115
"Mathematiker, Aktuare und Statistiker",2,0.7195,2120
Führungskräfte in Werbung und Öffentlichkeitsarbeit,1,0.4836,1222
"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,0.1566,3339
Pflegedienstleiter und Pflegefachkräfte,2,0.6948,2221
Holztrockner und -konservierer,7,0.4679,7521
Bediener von Maschinen zur Herstellung von Papierwaren,8,0.4679,8143
"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt",8,0.4679,8189
Pflegedienstleiter und Pflegefachkräfte,2,0.3526,2221
Sprachlehrer,2,0.2046,2353
Gemüseanbauer,6,0.2426,6111
Obst- und Beerenanbauer,6,0.2426,6112
"Gärtner, Gartenbau und Pflanzenproduktion",6,0.2426,6113
Fachkräfte in der Mischkulturlandwirtschaft,6,0.2426,6114
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6,0.2426,6130
Führer von mobilen land- und forstwirtschaftlichen Maschinen,8,0.2426,8341
"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,0.9234,2144
Nahrungsmittel- und Getränkekoster und -klassierer,7,0.4494,7515
Universitäts- und Hochschullehrer,2,0.6897,2310
Flugverkehrslotsen,3,0.6372,3154
Flugmotorenmechaniker und -schlosser,7,0.7125,7232
Berufe der Montage von mechanischen Bauteilen,8,0.2842,8211
Feldscher und vergleichbare paramedizinische Praktiker,2,0.6363,2240
"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer",8,0.1626,8322
Flugzeugpiloten und verwandte Berufe,3,0.8894,3153
Nutztierhalter (ohne Geflügel) und Milchproduzenten,6,0.2791,6121
Geflügelhalter,6,0.2791,6122
Imker und Seidenraupenzüchter,6,0.2791,6123
"Tierhalter, anderweitig nicht genannt",6,0.2791,6129
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6,0.2791,6130
Fachkräfte im Bereich Aquakultur,6,0.2791,6221
Universitäts- und Hochschullehrer,2,0.4474,2310
"Soziologen, Anthropologen und verwandte Wissenschaftler",2,0.7274,2632
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.8011,2131
"Juristen, anderweitig nicht genannt",2,0.1023,2619
"Architekten, Innenarchitekten",2,0.6721,2161
Universitäts- und Hochschullehrer,2,0.4926,2310
Führungskräfte in Forschung und Entwicklung,1,0.6205,1223
Archiv- und Museumswissenschaftler,2,0.2964,2621
Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,0.3623,2654
Universitäts- und Hochschullehrer,2,0.5448,2310
Universitäts- und Hochschullehrer,2,0.3716,2310
Athleten und Berufssportler,3,0.4244,3421
Trainer und Betreuer im Bereich Fitness und Erholung,3,0.5558,3423
Physiker und Astronomen,2,0.4354,2111
Audiologen und Sprachtherapeuten,2,0.6575,2266
Meteorologen,2,0.6283,2112
Techniker für Rundfunk und audiovisuelle Medien,3,0.4216,3521
Universitäts- und Hochschullehrer,2,0.5158,2310
"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,0.5438,3115
Kraftfahrzeugmechaniker und -schlosser,7,0.0718,7231
Kraftfahrzeugmechaniker und -schlosser,7,0.4761,7231
Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,3,0.5648,3257
Elektroniker und Elektronik-Servicetechniker,7,0.3881,7421
"Boten, Paketauslieferer und Gepäckträger",9,0.185,9621
"Bäcker, Konditoren und Konfektmacher",7,0.2302,7512
Coiffeurs,5,0.1963,5141
Inkassobeauftragte und verwandte Berufe,4,0.0358,4214
Barkeeper,5,0.2845,5132
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.9301,2131
Führungskräfte in der Produktion von Waren,1,0.792,1321
Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,3,0.321,3132
"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien",8,0.321,8114
"Ingenieure, anderweitig nicht genannt",2,0.9318,2149
Universitäts- und Hochschullehrer,2,0.2317,2310
Führungskräfte in Forschung und Entwicklung,1,0.756,1223
"Statistische, mathematische und verwandte Fachkräfte",3,0.6038,3314
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.7498,2131
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.6933,2131
Steuerer von Energieerzeugungsanlagen,3,0.6579,3131
Führungskräfte in der Produktion von Waren,1,0.4959,1321
"Mathematiker, Aktuare und Statistiker",2,0.6831,2120
Blechkaltverformer,7,0.3697,7213
Fachkräfte im Rechnungswesen,3,0.1088,3313
Bürokräfte im Rechnungswesen und in der Buchhaltung,4,0.1088,4311
Maurer und verwandte Berufe,7,0.3896,7112
"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",8,0.2056,8343
"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",2,0.163,2656
"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",4,0.0391,4312
Leitende Bedienstete von Interessenorganisationen,1,0.6556,1114
Führungskräfte in Unternehmenspolitik und -planung,1,0.6556,1213
"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,0.6556,1219
Führungskräfte in der Produktion im Bergbau,1,0.6556,1322
"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",1,0.6556,1349
"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,0.6556,1431
"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",1,0.6556,1439
Universitäts- und Hochschullehrer,2,0.4446,2310
Kraftfahrzeugmechaniker und -schlosser,7,0.4573,7231
Einkäufer,3,0.1875,3323
Möbeltischler und verwandte Berufe,7,0.6363,7522
"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,0.4325,2411
"Metzger, Fischhändler und -verarbeiter und verwandte Berufe",7,0.4351,7511
Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,0.6028,2422
"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,0.6028,3339
Techniker für Rundfunk und audiovisuelle Medien,3,0.5936,3521
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.5813,3259
"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",3,0.7678,3152
Lehrkräfte im Bereich Berufsbildung,2,0.5394,2320
"Zimmerleute, Bautischler, Storenmonteure, Bootbauer",7,0.4435,7115
Lehrkräfte im Bereich Berufsbildung,2,0.7087,2320
Boden- und Fliesenleger,7,0.3438,7122
Kartografen und Vermessungsingenieure,2,0.2787,2165
Chemieingenieure,2,0.96,2145
"Küchenchefs, stv. Küchenchefs und Souschefs",3,0.5066,3434
"Betonierer, Betonoberflächenfertiger und verwandte Berufe",7,0.556,7114
Bediener von Anlagen und Maschinen für chemische Erzeugnisse,8,0.6668,8131
Chemo- und Physikotechniker,3,0.6885,3111
Chemiker,2,0.6989,2113
Universitäts- und Hochschullehrer,2,0.618,2310
Steuerer von chemischen Verfahrensanlagen,3,0.5349,3133
Leitende Verwaltungsbedienstete,1,0.6071,1112
Traditionelle Dorf- und Stammeshäuptlinge,1,0.6071,1113
Geschäftsführer und Vorstände,1,0.6071,1120
Leitende Verwaltungsbedienstete,1,0.6498,1112
Traditionelle Dorf- und Stammeshäuptlinge,1,0.6498,1113
Geschäftsführer und Vorstände,1,0.6498,1120
Sozialarbeiter,2,0.366,2635
Kinderbetreuer,5,0.2325,5311
Tänzer und Choreografen,2,0.3021,2653
Bauführer und Bautechniker,3,0.4125,3112
Schätzer und Schadensgutachter,3,0.5606,3315
"Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen",9,0.0664,9112
Fahrzeugreiniger,9,0.0664,9122
Bediener von Anlagen zur Zellstoff- und Papierherstellung,8,0.1166,8171
Geistliche Seelsorger,2,0.3923,2636
Pflegedienstleiter und Pflegefachkräfte,2,0.5834,2221
Führungskräfte in Forschung und Entwicklung,1,0.4434,1223
"Sportlehrer, Sporttrainer und Sportfunktionäre",3,0.5466,3422
