job_zone,education,isco08,Name_de,Berufshauptgruppe,s10,s1,s4,s11,s22,s6,s19,s18,s3,s15,s2,s31,s32,s16,s25,s23,s30,s5,s7,s12,s13,s24,s35,s21,s28,s29,s33,s8,s9,s14,s17,s20,s26,s27,s34,a1,a6,a11,a4,a8,a20,a35,a42,a51,a52,a7,a29,a45,a47,a17,a26,a27,a48,a13,a16,a21,a23,a32,a37,a50,a2,a5,a3,a25,a38,a10,a15,a18,a30,a46,a9,a12,a14,a19,a22,a24,a31,a33,a34,a36,a39,a41,a43,a44,a28,a40,a49,fo_probability,fo_computerisation
5,1,6113,"Gärtner, Gartenbau und Pflanzenproduktion",6,38,31,47,28,16,44,25,31,50,28,44,72,0,25,50,69,22,47,31,31,19,13,53,3,10,13,50,38,44,31,31,25,38,10,50,53,28,50,53,60,53,41,60,31,28,66,25,19,56,38,28,50,56,47,38,41,31,47,53,28,56,31,28,47,19,47,25,47,53,35,31,50,50,60,28,56,72,35,53,25,19,72,10,16,50,28,56,0.57,na
5,1,6130,Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6,38,31,47,28,16,44,25,31,50,28,44,72,0,25,50,69,22,47,31,31,19,13,53,3,10,13,50,38,44,31,31,25,38,10,50,53,28,50,53,60,53,41,60,31,28,66,25,19,56,38,28,50,56,47,38,41,31,47,53,28,56,31,28,47,19,47,25,47,53,35,31,50,50,60,28,56,72,35,53,25,19,72,10,16,50,28,56,0.95,na
5,1,8341,Führer von mobilen land- und forstwirtschaftlichen Maschinen,8,38,31,47,28,16,44,25,31,50,28,44,72,0,25,50,69,22,47,31,31,19,13,53,3,10,13,50,38,44,31,31,25,38,10,50,53,28,50,53,60,53,41,60,31,28,66,25,19,56,38,28,50,56,47,38,41,31,47,53,28,56,31,28,47,19,47,25,47,53,35,31,50,50,60,28,56,72,35,53,25,19,72,10,16,50,28,56,0.79,na
1,3,7515,Nahrungsmittel- und Getränkekoster und -klassierer,7,56,69,44,53,44,69,53,47,69,47,63,38,13,47,0,56,41,66,47,50,47,19,25,19,16,19,78,53,53,56,41,53,3,0,0,69,41,56,63,75,31,47,31,25,25,72,22,16,28,44,25,28,28,72,53,63,53,56,35,19,72,66,28,50,0,50,53,44,38,22,44,72,53,63,25,41,38,25,25,19,35,35,0,38,41,22,22,0.41,na
3,3,3154,Flugverkehrslotsen,3,78,69,60,53,19,75,56,53,85,41,81,38,19,47,6,56,47,78,63,53,53,19,25,44,19,19,44,75,72,69,47,53,6,0,3,91,60,75,78,94,19,50,41,22,0,78,0,28,13,78,0,3,19,81,66,81,81,78,47,19,91,72,50,63,0,88,60,63,35,16,60,85,75,78,0,38,10,0,0,28,50,47,0,53,47,3,16,0.029,na
3,8,7232,Flugmotorenmechaniker und -schlosser,7,56,69,50,47,38,60,53,50,56,35,60,60,13,47,81,78,31,72,50,50,41,25,78,28,13,28,72,72,50,50,41,50,56,35,81,63,47,53,50,75,47,56,47,28,25,72,28,25,47,47,28,50,50,66,50,60,47,53,53,25,60,75,41,50,6,50,60,53,72,25,47,66,75,47,28,72,66,31,47,25,31,75,10,38,75,25,41,0.003,na
1,3,8211,Berufe der Montage von mechanischen Bauteilen,8,50,50,44,44,19,53,47,35,53,31,50,47,13,31,50,47,38,53,50,47,41,25,47,22,25,28,60,50,47,47,31,47,47,47,47,50,35,53,50,69,47,47,44,25,25,66,38,25,38,41,44,53,38,50,50,47,31,50,47,25,53,53,25,50,19,50,47,60,60,25,47,53,60,44,31,53,50,38,47,25,31,53,6,31,63,28,25,0.79,na
4,7,2240,Feldscher und vergleichbare paramedizinische Praktiker,2,66,69,53,53,50,69,44,56,75,35,66,50,10,38,31,60,47,66,60,44,47,19,38,10,19,28,47,53,53,63,41,44,35,6,25,69,41,63,60,78,44,50,35,0,25,69,25,0,31,50,22,38,44,72,53,56,50,69,47,0,78,75,44,41,0,69,63,47,56,0,44,72,63,47,28,63,41,31,38,16,47,60,3,50,53,35,44,0.14,na
1,3,8322,"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer",8,50,53,53,47,16,50,25,63,60,44,53,50,3,44,31,44,25,63,47,50,35,10,35,19,10,28,25,47,47,53,31,22,25,0,28,69,28,56,53,72,50,38,50,53,38,56,28,28,47,53,35,47,53,53,50,50,44,50,41,22,72,53,25,38,16,50,47,47,50,28,44,56,53,53,44,53,53,31,53,22,28,50,0,25,47,13,53,0.029,na
2,2,3153,Flugzeugpiloten und verwandte Berufe,3,75,72,56,53,44,78,56,47,78,41,69,97,13,44,19,91,53,78,72,50,50,16,53,28,16,22,53,66,66,69,47,56,0,0,3,75,47,69,69,94,28,66,78,75,44,81,25,60,78,75,22,38,81,75,50,75,60,78,69,47,75,75,53,56,13,75,53,60,63,72,50,78,75,81,19,75,75,16,28,66,56,91,0,53,53,44,97,0.029,na
1,3,6121,Nutztierhalter (ohne Geflügel) und Milchproduzenten,6,50,47,41,44,50,50,35,35,50,19,50,41,13,35,0,47,28,56,44,22,28,6,25,16,28,25,41,50,38,50,25,28,10,0,0,47,22,47,50,53,50,35,28,19,25,63,31,10,22,22,41,38,22,50,53,44,31,41,25,16,50,47,19,25,19,38,41,38,47,10,25,53,50,50,31,50,50,41,50,13,28,41,3,35,50,19,25,0.95,na
1,3,6122,Geflügelhalter,6,50,47,41,44,50,50,35,35,50,19,50,41,13,35,0,47,28,56,44,22,28,6,25,16,28,25,41,50,38,50,25,28,10,0,0,47,22,47,50,53,50,35,28,19,25,63,31,10,22,22,41,38,22,50,53,44,31,41,25,16,50,47,19,25,19,38,41,38,47,10,25,53,50,50,31,50,50,41,50,13,28,41,3,35,50,19,25,0.95,na
1,3,6123,Imker und Seidenraupenzüchter,6,50,47,41,44,50,50,35,35,50,19,50,41,13,35,0,47,28,56,44,22,28,6,25,16,28,25,41,50,38,50,25,28,10,0,0,47,22,47,50,53,50,35,28,19,25,63,31,10,22,22,41,38,22,50,53,44,31,41,25,16,50,47,19,25,19,38,41,38,47,10,25,53,50,50,31,50,50,41,50,13,28,41,3,35,50,19,25,0.95,na
1,3,6129,"Tierhalter, anderweitig nicht genannt",6,50,47,41,44,50,50,35,35,50,19,50,41,13,35,0,47,28,56,44,22,28,6,25,16,28,25,41,50,38,50,25,28,10,0,0,47,22,47,50,53,50,35,28,19,25,63,31,10,22,22,41,38,22,50,53,44,31,41,25,16,50,47,19,25,19,38,41,38,47,10,25,53,50,50,31,50,50,41,50,13,28,41,3,35,50,19,25,0.95,na
1,3,6221,Fachkräfte im Bereich Aquakultur,6,50,47,41,44,50,50,35,35,50,19,50,41,13,35,0,47,28,56,44,22,28,6,25,16,28,25,41,50,38,50,25,28,10,0,0,47,22,47,50,53,50,35,28,19,25,63,31,10,22,22,41,38,22,50,53,44,31,41,25,16,50,47,19,25,19,38,41,38,47,10,25,53,50,50,31,50,50,41,50,13,28,41,3,35,50,19,25,0.95,na
4,7,2632,"Soziologen, Anthropologen und verwandte Wissenschaftler",2,60,85,56,81,41,69,50,38,78,38,78,13,22,44,0,22,47,78,47,60,60,16,3,19,22,28,25,69,50,66,47,44,10,0,0,81,50,69,75,56,31,47,16,22,3,66,19,0,0,47,22,28,3,85,69,69,50,44,19,3,81,85,44,25,19,56,88,56,41,3,63,81,69,50,22,35,28,22,25,3,47,25,6,47,41,28,6,0.0077,na
4,9,2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",2,75,78,53,75,75,69,69,50,72,50,72,22,25,50,3,38,60,75,56,50,56,22,22,44,25,31,44,75,53,72,50,56,3,0,0,75,56,69,75,75,28,41,25,25,0,72,10,13,13,41,6,10,22,75,72,50,31,50,28,10,75,75,44,41,10,53,75,44,3,13,69,75,72,50,16,25,25,13,25,19,56,25,0,56,16,22,25,0.0045,na
4,5,2619,"Juristen, anderweitig nicht genannt",2,75,75,66,78,16,47,41,50,85,94,78,0,13,69,0,6,25,75,50,47,50,10,0,13,3,3,3,66,53,69,22,41,0,0,0,78,50,69,75,69,13,16,0,0,0,60,0,0,0,38,0,0,0,75,53,47,44,28,16,0,78,75,25,16,0,47,78,28,0,0,50,75,56,41,0,0,0,0,0,0,28,0,0,25,13,6,0,0.06,na
4,2,2161,"Architekten, Innenarchitekten",2,69,75,56,72,47,69,63,47,72,53,75,22,22,53,0,31,63,75,50,50,56,25,22,75,44,44,53,69,63,66,50,60,6,0,0,75,75,63,63,75,13,47,38,31,0,72,0,0,0,44,3,0,0,75,75,66,50,56,19,0,75,75,47,28,0,53,75,78,25,3,75,75,75,66,0,25,19,0,0,0,60,25,0,56,31,13,0,0.018,na
4,2,1223,Führungskräfte in Forschung und Entwicklung,1,72,78,63,75,41,69,53,56,75,53,75,13,22,53,3,38,72,72,72,56,56,22,25,35,47,47,50,75,69,72,56,50,0,0,0,78,66,69,75,72,13,50,25,10,0,69,0,0,0,38,0,0,0,72,56,53,47,47,22,0,78,81,44,25,0,53,72,69,25,0,69,72,69,56,0,25,16,0,0,0,60,25,0,72,28,6,0,0.017,na
4,7,2621,Archiv- und Museumswissenschaftler,2,56,75,44,75,25,50,47,53,72,44,56,0,19,44,0,25,25,60,53,50,47,22,16,28,25,31,25,56,50,56,47,38,0,0,0,63,47,53,53,53,25,44,25,0,0,72,22,0,0,28,22,25,0,60,75,31,28,35,25,0,72,75,38,25,3,50,75,31,25,0,47,69,75,50,19,25,22,19,25,0,38,13,0,25,28,3,0,0.0068,na
2,2,2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,69,69,56,60,6,56,50,50,75,50,75,0,13,60,3,19,31,69,66,53,50,13,3,60,38,35,28,66,66,56,50,50,3,0,3,75,81,66,66,69,16,69,10,3,0,75,0,0,3,41,3,0,6,63,63,50,44,44,16,0,75,75,35,19,0,44,60,72,28,0,81,66,69,53,0,28,0,0,0,0,31,22,0,38,35,13,0,0.023,na
1,1,3421,Athleten und Berufssportler,3,56,53,53,44,19,56,28,47,69,47,72,19,0,50,22,35,28,69,50,50,47,22,22,25,16,19,25,50,66,50,47,35,0,0,0,72,47,60,66,72,56,35,38,22,44,63,56,19,35,47,66,60,47,60,44,44,31,47,35,16,75,56,35,38,66,53,44,50,53,25,47,60,56,60,63,56,60,72,72,22,28,38,31,28,44,22,44,0.28,na
4,7,3423,Trainer und Betreuer im Bereich Fitness und Erholung,3,72,69,69,63,35,72,47,66,75,44,72,25,6,50,6,44,28,72,56,66,53,22,25,28,22,22,44,56,53,69,47,47,16,0,0,75,53,72,72,78,47,38,35,0,22,60,25,0,10,44,38,28,10,69,50,53,44,47,41,0,66,72,44,41,25,50,69,44,50,0,53,69,69,50,41,50,53,47,50,0,25,35,16,25,50,22,19,0.0071,na
4,11,2111,Physiker und Astronomen,2,69,81,53,75,81,60,50,53,75,44,72,16,31,50,16,28,75,78,53,53,63,28,16,44,38,28,25,56,53,75,53,50,16,0,16,78,66,60,69,66,10,47,25,10,0,75,0,16,0,44,0,10,0,78,56,72,35,50,25,0,75,75,47,25,0,66,75,50,13,0,63,78,75,66,0,13,0,0,0,0,75,16,0,78,25,3,0,0.041,na
4,9,2266,Audiologen und Sprachtherapeuten,2,69,78,75,75,50,69,53,66,78,47,75,28,19,53,28,50,47,75,56,53,60,22,28,47,22,22,50,66,60,75,47,53,28,6,28,75,53,69,72,75,28,35,16,0,0,69,0,0,19,47,0,13,16,75,56,53,50,53,63,16,78,78,47,60,3,47,75,38,47,0,50,75,66,47,3,50,25,0,19,0,38,50,0,47,50,22,22,0.0033,na
2,2,2112,Meteorologen,2,72,78,56,75,75,53,60,53,75,50,75,3,25,50,0,25,50,75,53,53,56,25,0,44,25,25,22,72,53,72,47,47,0,0,0,81,50,72,75,72,19,47,25,0,0,72,0,0,0,47,6,0,0,72,60,60,44,47,25,0,81,81,44,25,0,50,75,41,16,0,56,72,69,50,0,16,0,0,0,0,50,16,0,56,25,6,0,0.67,na
3,2,3521,Techniker für Rundfunk und audiovisuelle Medien,3,50,63,50,53,0,69,50,53,53,38,53,50,25,41,35,63,25,63,50,47,44,25,44,28,22,25,47,56,53,50,47,47,44,38,31,72,47,53,53,69,28,56,28,10,0,75,22,3,28,50,25,31,28,56,53,53,31,50,56,16,69,63,28,53,16,53,63,50,50,0,47,60,69,53,22,53,31,28,28,3,31,53,0,28,50,28,19,0.6,na
1,3,7231,Kraftfahrzeugmechaniker und -schlosser,7,44,38,47,35,13,47,28,47,47,35,50,44,3,35,28,44,25,47,47,35,35,16,31,19,10,19,44,44,44,41,25,25,50,53,35,50,25,50,44,50,47,44,47,22,31,63,22,19,22,38,28,50,25,47,41,28,25,38,28,19,50,41,22,35,3,44,38,50,53,22,28,50,50,47,31,50,53,38,53,41,25,50,10,22,50,25,22,0.003,na
3,6,3257,Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,3,56,72,50,66,47,60,50,50,72,47,72,50,10,47,47,69,31,75,56,47,47,16,56,41,13,19,69,60,47,53,44,47,44,0,47,72,47,63,69,78,31,53,41,25,16,75,28,25,28,50,25,31,31,78,56,56,44,60,53,25,75,72,31,53,10,56,66,60,50,25,50,75,63,60,25,50,44,25,25,25,35,53,0,38,47,25,25,0.029,na
3,8,7421,Elektroniker und Elektronik-Servicetechniker,7,56,56,47,56,47,53,50,44,60,35,60,38,16,47,72,69,28,69,53,47,41,22,72,31,13,19,69,63,50,50,41,47,50,44,72,63,47,53,53,69,35,50,25,16,0,69,25,13,25,41,25,31,28,66,50,47,31,50,47,13,69,72,35,35,13,50,66,56,56,13,47,66,69,47,25,60,44,25,28,13,31,60,0,38,66,25,28,0.003,na
1,1,9621,"Boten, Paketauslieferer und Gepäckträger",9,44,47,47,44,0,47,28,69,66,31,66,35,6,31,16,35,25,50,47,38,31,6,25,3,22,22,25,47,50,31,28,25,13,0,16,69,35,63,53,50,69,25,38,41,25,50,28,19,28,50,41,50,28,47,44,31,25,41,25,25,69,47,25,47,22,50,44,31,47,22,35,47,47,44,41,44,56,50,63,22,28,47,3,25,41,19,25,0.83,na
1,3,7512,"Bäcker, Konditoren und Konfektmacher",7,50,47,44,31,19,56,25,38,50,28,50,31,0,25,13,47,31,50,50,25,31,19,28,25,19,25,47,31,50,50,25,25,13,0,3,53,44,53,50,53,44,53,25,0,22,69,22,0,25,38,25,28,28,47,50,47,28,50,41,0,56,50,25,35,3,50,38,47,50,0,44,50,50,44,25,50,44,28,28,0,31,50,13,31,50,25,19,0.89,na
3,8,5141,Coiffeurs,5,50,44,53,25,6,47,19,53,60,25,53,22,0,31,25,25,22,47,41,16,22,13,25,28,19,25,22,31,38,38,25,16,22,0,22,56,38,56,53,50,50,38,28,0,0,66,16,0,10,44,31,31,13,44,31,25,22,25,19,0,66,44,25,25,6,53,31,50,60,0,44,47,44,28,16,72,35,28,22,0,22,50,3,19,60,31,6,0.11,na
1,3,4214,Inkassobeauftragte und verwandte Berufe,4,47,53,60,56,0,50,31,50,72,50,72,0,6,60,0,22,41,53,50,35,28,0,13,3,13,13,16,47,47,47,28,25,0,0,0,69,38,66,66,50,10,25,13,0,0,56,0,0,0,31,3,0,0,47,50,35,25,41,28,0,69,66,28,28,0,50,63,28,10,0,38,47,47,38,0,10,0,0,0,0,44,10,0,41,28,6,0,0.95,na
1,3,5132,Barkeeper,5,47,50,56,44,0,50,31,66,69,47,53,16,6,53,3,25,31,53,50,50,47,13,22,0,31,35,31,50,53,50,38,31,6,0,0,72,47,56,53,50,50,41,28,6,19,56,28,0,19,47,28,41,19,50,47,44,28,44,25,3,69,50,50,50,10,50,50,38,53,3,44,50,56,47,44,53,44,38,31,0,38,38,0,31,50,25,19,0.77,na
2,2,1321,Führungskräfte in der Produktion von Waren,1,63,72,60,63,50,69,56,56,69,50,66,53,28,53,13,50,50,72,63,56,60,22,31,28,50,44,41,60,66,56,72,50,6,0,3,75,53,66,72,69,35,50,28,3,3,63,22,0,35,56,16,22,35,63,53,56,47,56,41,0,78,75,41,44,13,63,69,44,35,0,53,69,53,53,19,44,28,25,25,16,47,35,0,53,31,38,13,0.03,na
1,3,3132,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,3,47,63,53,53,47,60,47,50,56,47,56,69,16,47,56,72,47,53,47,50,38,13,50,3,19,31,60,47,53,47,38,47,38,13,50,63,38,63,60,60,50,60,41,35,0,60,44,22,53,53,41,50,60,60,53,53,41,60,50,38,63,63,38,53,44,60,56,50,60,28,44,60,60,50,41,60,56,35,41,31,44,63,13,44,56,35,44,0.61,na
1,3,8114,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien",8,47,63,53,53,47,60,47,50,56,47,56,69,16,47,56,72,47,53,47,50,38,13,50,3,19,31,60,47,53,47,38,47,38,13,50,63,38,63,60,60,50,60,41,35,0,60,44,22,53,53,41,50,60,60,53,53,41,60,50,38,63,63,38,53,44,60,56,50,60,28,44,60,60,50,41,60,56,35,41,31,44,63,13,44,56,35,44,0.83,na
2,2,2149,"Ingenieure, anderweitig nicht genannt",2,78,78,53,69,72,69,69,53,78,53,72,25,50,53,31,47,69,81,56,56,53,56,44,69,31,41,53,78,56,66,53,69,38,47,41,72,72,66,60,75,16,47,35,0,0,72,0,0,10,41,0,16,10,78,66,66,44,53,31,0,75,78,41,31,0,53,72,66,25,0,63,78,66,50,0,41,13,0,0,0,60,35,0,72,38,22,13,0.014,na
2,2,3314,"Statistische, mathematische und verwandte Fachkräfte",3,63,69,47,63,53,56,56,38,63,38,60,3,53,44,3,41,60,63,50,47,44,28,3,28,16,16,31,63,47,63,41,50,3,0,3,63,50,60,60,60,0,38,16,0,0,60,0,0,0,44,0,0,0,69,60,60,44,50,22,0,69,75,47,22,0,63,66,50,0,0,56,69,66,47,0,0,0,0,0,0,53,3,0,66,38,6,0,0.65,na
1,3,3131,Steuerer von Energieerzeugungsanlagen,3,53,50,44,50,31,60,44,44,50,44,50,72,19,41,50,75,44,53,50,44,50,22,44,28,22,25,50,50,50,50,28,44,44,3,44,50,44,47,50,69,38,53,44,25,31,72,28,25,53,50,25,35,56,53,47,47,44,56,50,28,50,56,38,50,13,53,50,53,50,25,44,56,60,53,28,53,56,31,44,25,31,69,0,31,47,35,44,0.64,na
3,1,7213,Blechkaltverformer,7,50,53,44,44,25,53,35,38,50,35,47,66,0,31,60,69,31,63,50,41,44,19,56,44,13,22,60,50,44,50,31,35,53,28,56,53,35,50,50,72,60,41,47,28,22,72,44,25,47,47,41,50,50,63,50,50,35,50,47,25,60,53,25,50,16,50,50,60,69,28,47,69,56,50,38,72,66,44,56,31,35,72,10,35,72,31,44,0.68,na
3,3,3313,Fachkräfte im Rechnungswesen,3,44,56,44,53,3,50,28,47,56,31,53,3,10,31,0,16,60,56,50,28,25,3,0,10,25,19,3,47,47,44,28,28,0,0,0,63,22,53,50,63,19,19,0,0,0,72,0,0,0,25,10,0,0,53,53,44,31,47,19,0,75,72,35,22,0,50,66,25,25,0,28,50,53,41,0,25,0,0,0,0,63,25,0,72,38,16,0,0.98,na
3,3,4311,Bürokräfte im Rechnungswesen und in der Buchhaltung,4,44,56,44,53,3,50,28,47,56,31,53,3,10,31,0,16,60,56,50,28,25,3,0,10,25,19,3,47,47,44,28,28,0,0,0,63,22,53,50,63,19,19,0,0,0,72,0,0,0,25,10,0,0,53,53,44,31,47,19,0,75,72,35,22,0,50,66,25,25,0,28,50,53,41,0,25,0,0,0,0,63,25,0,72,38,16,0,0.98,na
1,3,7112,Maurer und verwandte Berufe,7,47,44,44,31,19,50,28,31,50,31,50,41,0,38,25,50,47,53,50,31,28,16,25,28,22,25,50,47,53,47,31,25,41,3,25,50,41,47,47,53,75,47,44,28,28,69,53,25,31,47,66,72,47,50,50,47,28,47,41,25,50,50,25,41,28,50,31,66,69,25,31,50,56,50,50,69,66,50,69,28,47,50,22,44,56,25,28,0.82,na
1,3,8343,"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",8,50,47,41,47,3,56,19,47,50,38,50,50,3,41,19,50,25,50,47,44,38,3,35,3,0,3,38,47,50,35,31,25,13,0,16,50,31,50,50,50,35,35,41,25,25,56,28,31,44,41,28,28,50,47,47,44,28,50,50,44,50,47,31,53,22,53,44,38,41,31,25,47,56,53,25,50,47,25,28,47,28,53,0,25,41,28,41,0.029,na
2,2,2656,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",2,56,75,63,56,0,56,28,50,75,47,91,31,6,47,16,31,22,69,60,35,28,10,16,25,13,13,28,50,50,56,28,28,16,0,16,97,66,72,91,53,28,31,13,16,0,56,0,13,25,50,13,16,25,60,50,31,50,28,22,16,75,75,50,38,13,56,72,25,31,13,63,60,53,35,0,31,16,0,13,13,22,35,0,19,31,13,19,0.067,na
3,2,4312,"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",4,50,69,50,53,0,53,47,50,72,47,72,3,25,38,0,22,50,60,63,38,41,0,0,19,25,22,3,47,47,50,41,38,0,0,0,72,41,66,66,60,3,25,16,0,0,69,0,0,0,44,0,0,0,53,47,47,41,44,25,0,75,69,38,28,0,53,66,28,25,0,41,56,63,41,0,25,0,0,0,0,53,25,0,53,47,6,0,0.97,na
2,2,1114,Leitende Bedienstete von Interessenorganisationen,1,75,75,56,72,50,75,60,47,72,63,75,25,16,53,0,41,66,75,60,50,50,19,13,50,53,47,44,78,75,56,47,66,6,0,0,75,53,69,69,78,16,35,25,16,0,63,0,0,0,28,0,0,0,75,66,50,31,44,22,0,75,75,35,22,0,44,75,53,3,3,60,75,72,53,0,0,10,0,0,0,53,13,0,69,22,13,3,0.015,na
2,2,1213,Führungskräfte in Unternehmenspolitik und -planung,1,75,75,56,72,50,75,60,47,72,63,75,25,16,53,0,41,66,75,60,50,50,19,13,50,53,47,44,78,75,56,47,66,6,0,0,75,53,69,69,78,16,35,25,16,0,63,0,0,0,28,0,0,0,75,66,50,31,44,22,0,75,75,35,22,0,44,75,53,3,3,60,75,72,53,0,0,10,0,0,0,53,13,0,69,22,13,3,0.25,na
2,2,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,75,75,56,72,50,75,60,47,72,63,75,25,16,53,0,41,66,75,60,50,50,19,13,50,53,47,44,78,75,56,47,66,6,0,0,75,53,69,69,78,16,35,25,16,0,63,0,0,0,28,0,0,0,75,66,50,31,44,22,0,75,75,35,22,0,44,75,53,3,3,60,75,72,53,0,0,10,0,0,0,53,13,0,69,22,13,3,0.015,na
2,2,1322,Führungskräfte in der Produktion im Bergbau,1,75,75,56,72,50,75,60,47,72,63,75,25,16,53,0,41,66,75,60,50,50,19,13,50,53,47,44,78,75,56,47,66,6,0,0,75,53,69,69,78,16,35,25,16,0,63,0,0,0,28,0,0,0,75,66,50,31,44,22,0,75,75,35,22,0,44,75,53,3,3,60,75,72,53,0,0,10,0,0,0,53,13,0,69,22,13,3,0.25,na
