Rank,Probability,Label,code,Occupation
169.,0.1,na,35-1011,Chefs and Head CooksChefs and Head Cooks
170.,0.1,na,39-2011,Animal TrainersAnimal Trainers
171.,0.1,na,27-3011,Radio and Television AnnouncersRadio and Television Announcers
172.,0.1,0,17-2071,Electrical EngineersElectrical Engineers
173.,0.1,na,19-2031,ChemistsChemists
174.,0.1,na,29-2054,Respiratory Therapy TechniciansRespiratory Therapy Technicians
175.,0.1,0,19-2012,PhysicistsPhysicists
176.,0.11,na,39-5012,HairdressersHairdressers Hairstylists and Cosmetologists
177.,0.11,na,27-3022,Reporters and CorrespondentsReporters and Correspondents
178.,0.11,na,53-2021,Air Traffic ControllersAir Traffic Controllers
179.,0.13,na,27-2031,DancersDancers
180.,0.13,na,29-2033,Nuclear Medicine TechnologistsNuclear Medicine Technologists
181.,0.13,na,15-1133,Software DevelopersSoftware Developers Systems Software
182.,0.13,na,13-1111,Management AnalystsManagement Analysts
183.,0.13,na,29-2051,Dietetic TechniciansDietetic Technicians
184.,0.13,na,19-3051,Urban and Regional PlannersUrban and Regional Planners
185.,0.13,na,21-1093,Social and Human Service AssistantsSocial and Human Service Assistants
186.,0.13,na,25-3021,Self-Enrichment Education TeachersSelf-Enrichment Education Teachers
187.,0.13,na,27-4014,Sound Engineering TechniciansSound Engineering Technicians
188.,0.14,na,29-1041,OptometristsOptometrists
189.,0.14,na,17-2151,Mining and Geological EngineersMining and Geological Engineers Including Mining Safety Engineers
190.,0.14,na,29-1071,Physician AssistantsPhysician Assistants
191.,0.15,na,25-2012,Kindergarten TeachersKindergarten Teachers Except Special Education
192.,0.15,na,47-2111,ElectriciansElectricians
193.,0.16,na,17-2171,Petroleum EngineersPetroleum Engineers
194.,0.16,na,43-9031,Desktop PublishersDesktop Publishers
195.,0.16,na,11-1021,General and Operations ManagersGeneral and Operations Managers
196.,0.17,na,29-9011,Occupational Health and Safety SpecialistsOccupational Health and Safety Specialists
197.,0.17,na,33-2011,FirefightersFirefighters
198.,0.17,na,13-2061,Financial ExaminersFinancial Examiners
199.,0.17,na,47-1011,First-Line Supervisors of Construction Trades and Extraction WorkersFirst-Line Supervisors of Construction Trades and Extraction Workers
200.,0.17,na,25-2022,Middle School TeachersMiddle School Teachers Except Special and Career/Technical Education
201.,0.18,na,27-3031,Public Relations SpecialistsPublic Relations Specialists
202.,0.18,na,49-9092,Commercial DiversCommercial Divers
203.,0.18,na,49-9095,Manufactured Building and Mobile Home InstallersManufactured Building and Mobile Home Installers
204.,0.18,na,53-2011,Airline PilotsAirline Pilots Copilots and Flight Engineers
205.,0.19,na,25-3011,Adult Basic and Secondary Education and Literacy Teachers and InstructorsAdult Basic and Secondary Education and Literacy Teachers and Instructors
206.,0.2,na,19-1041,EpidemiologistsEpidemiologists
207.,0.2,na,39-4831,Funeral Service ManagersFuneral Service Managers Directors Morticians and Undertakers
208.,0.21,na,15-1179,Information Security AnalystsInformation Security Analysts Web Developers and Computer Network Archi
209.,0.21,na,15-2011,ActuariesActuaries
210.,0.21,na,33-9011,Animal Control WorkersAnimal Control Workers
211.,0.21,0,39-6012,ConciergesConcierges
212.,0.22,na,15-1799,Computer OccupationsComputer Occupations All Other
213.,0.22,na,15-2041,StatisticiansStatisticians
214.,0.22,na,17-2061,Computer Hardware EngineersComputer Hardware Engineers
215.,0.23,na,19-3022,Survey ResearchersSurvey Researchers
216.,0.23,na,13-1199,Business Operations SpecialistsBusiness Operations Specialists All Other
217.,0.23,na,13-2051,Financial AnalystsFinancial Analysts
218.,0.23,na,29-2037,Radiologic Technologists and TechniciansRadiologic Technologists and Technicians
219.,0.23,na,29-2031,Cardiovascular Technologists and TechniciansCardiovascular Technologists and Technicians
220.,0.24,na,13-1011,Agents and Business Managers of ArtistsAgents and Business Managers of Artists Performers and Athletes
221.,0.24,na,17-3029,Engineering TechniciansEngineering Technicians Except Drafters All Other
222.,0.25,na,19-3092,GeographersGeographers
223.,0.25,na,29-9012,Occupational Health and Safety TechniciansOccupational Health and Safety Technicians
224.,0.25,na,21-1092,Probation Officers and Correctional Treatment SpecialistsProbation Officers and Correctional Treatment Specialists
225.,0.25,na,17-3025,Environmental Engineering TechniciansEnvironmental Engineering Technicians
226.,0.25,na,11-9199,ManagersManagers All Other
227.,0.25,na,53-3011,Ambulance Drivers and AttendantsAmbulance Drivers and Attendants Except Emergency Medical Technicians
228.,0.25,na,41-4011,Sales RepresentativesSales Representatives Wholesale and Manufacturing Technical and Scienti
229.,0.26,na,25-2023,Career/Technical Education TeachersCareer/Technical Education Teachers Middle School
230.,0.27,na,53-5021,CaptainsCaptains Mates and Pilots of Water Vessels
231.,0.27,na,31-2012,Occupational Therapy AidesOccupational Therapy Aides
232.,0.27,na,49-9062,Medical Equipment RepairersMedical Equipment Repairers
233.,0.28,na,41-1011,First-Line Supervisors of Retail Sales WorkersFirst-Line Supervisors of Retail Sales Workers
234.,0.28,na,27-2021,Athletes and Sports CompetitorsAthletes and Sports Competitors
235.,0.28,na,39-1011,Gaming SupervisorsGaming Supervisors
236.,0.29,na,39-5094,Skincare SpecialistsSkincare Specialists
237.,0.29,na,13-1022,Wholesale and Retail BuyersWholesale and Retail Buyers Except Farm Products
238.,0.3,na,19-4021,Biological TechniciansBiological Technicians
239.,0.3,na,31-9092,Medical AssistantsMedical Assistants
240.,0.3,0,19-1023,Zoologists and Wildlife BiologistsZoologists and Wildlife Biologists
241.,0.3,na,35-2013,CooksCooks Private Household
242.,0.31,na,13-1078,Human ResourcesHuman Resources Training and Labor Relations Specialists All Other
243.,0.31,na,33-9021,Private Detectives and InvestigatorsPrivate Detectives and Investigators
244.,0.31,na,27-4032,Film and Video EditorsFilm and Video Editors
245.,0.33,na,13-2099,Financial SpecialistsFinancial Specialists All Other
246.,0.34,na,33-3021,Detectives and Criminal InvestigatorsDetectives and Criminal Investigators
247.,0.34,na,29-2055,Surgical TechnologistsSurgical Technologists
248.,0.34,na,29-1124,Radiation TherapistsRadiation Therapists
249.,0.35,0,47-2152,PlumbersPlumbers Pipefitters and Steamfitters
250.,0.35,0,53-2031,Flight AttendantsFlight Attendants
251.,0.35,na,29-2032,Diagnostic Medical SonographersDiagnostic Medical Sonographers
252.,0.36,na,33-3011,BailiffsBailiffs
253.,0.36,na,51-4012,Computer Numerically Controlled Machine Tool ProgrammersComputer Numerically Controlled Machine Tool Programmers Metal and Plast
254.,0.36,na,49-2022,Telecommunications Equipment Installers and RepairersTelecommunications Equipment Installers and Repairers Except Line Instal
255.,0.37,na,51-9051,FurnaceFurnace Kiln Oven Drier and Kettle Operators and Tenders
256.,0.37,na,53-7061,Cleaners of Vehicles and EquipmentCleaners of Vehicles and Equipment
257.,0.37,na,39-4021,Funeral AttendantsFuneral Attendants
258.,0.37,na,47-5081,Helpers-Extraction WorkersHelpers-Extraction Workers
259.,0.37,na,27-2011,ActorsActors
260.,0.37,na,53-7111,Mine Shuttle Car OperatorsMine Shuttle Car Operators
261.,0.38,na,49-2095,Electrical and Electronics RepairersElectrical and Electronics Repairers Powerhouse Substation and Relay
262.,0.38,1,17-1022,SurveyorsSurveyors
263.,0.38,na,17-3027,Mechanical Engineering TechniciansMechanical Engineering Technicians
264.,0.38,na,53-7064,Packers and PackagersPackers and Packagers Hand
265.,0.38,na,27-3091,Interpreters and TranslatorsInterpreters and Translators
266.,0.39,na,31-1011,Home Health AidesHome Health Aides
267.,0.39,na,51-6093,UpholsterersUpholsterers
268.,0.39,na,47-4021,Elevator Installers and RepairersElevator Installers and Repairers
269.,0.39,na,43-3041,Gaming Cage WorkersGaming Cage Workers
270.,0.39,na,25-9011,Audio-Visual and Multimedia Collections SpecialistsAudio-Visual and Multimedia Collections Specialists
271.,0.4,na,23-1023,JudgesJudges Magistrate Judges and Magistrates
272.,0.4,na,49-3042,Mobile Heavy Equipment MechanicsMobile Heavy Equipment Mechanics Except Engines
273.,0.4,na,29-2799,Health Technologists and TechniciansHealth Technologists and Technicians All Other
274.,0.41,na,45-2041,Graders and SortersGraders and Sorters Agricultural Products
322.,0.57,na,33-3052,Transit and Railroad PoliceTransit and Railroad Police
323.,0.57,na,37-1012,First-Line Supervisors of LandscapingFirst-Line Supervisors of Landscaping Lawn Service and Groundskeeping W
324.,0.58,na,13-2052,Personal Financial AdvisorsPersonal Financial Advisors
325.,0.59,na,49-9044,MillwrightsMillwrights
326.,0.59,na,25-4013,Museum Technicians and ConservatorsMuseum Technicians and Conservators
327.,0.59,na,47-5042,Mine Cutting and Channeling Machine OperatorsMine Cutting and Channeling Machine Operators
328.,0.59,0,11-3071,TransportationTransportation Storage and Distribution Managers
329.,0.59,na,49-3092,Recreational Vehicle Service TechniciansRecreational Vehicle Service Technicians
330.,0.59,na,49-3023,Automotive Service Technicians and MechanicsAutomotive Service Technicians and Mechanics
331.,0.6,na,33-3012,Correctional Officers and JailersCorrectional Officers and Jailers
332.,0.6,na,27-4031,Camera OperatorsCamera Operators Television Video and Motion Picture
333.,0.6,na,51-3023,Slaughterers and Meat PackersSlaughterers and Meat Packers
334.,0.61,na,49-2096,Electronic Equipment Installers and RepairersElectronic Equipment Installers and Repairers Motor Vehicles
335.,0.61,na,31-2022,Physical Therapist AidesPhysical Therapist Aides
336.,0.61,na,39-3092,Costume AttendantsCostume Attendants
337.,0.61,1,13-1161,Market Research Analysts and Marketing SpecialistsMarket Research Analysts and Marketing Specialists
338.,0.61,na,43-4181,Reservation and Transportation Ticket Agents and Travel ClerksReservation and Transportation Ticket Agents and Travel Clerks
339.,0.61,na,51-8031,Water and Wastewater Treatment Plant and System OperatorsWater and Wastewater Treatment Plant and System Operators
340.,0.61,na,19-4099,LifeLife Physical and Social Science Technicians All Other
341.,0.61,na,51-3093,Food Cooking Machine Operators and TendersFood Cooking Machine Operators and Tenders
342.,0.61,na,51-4122,WeldingWelding Soldering and Brazing Machine Setters Operators and Tenders
343.,0.62,na,53-5022,Motorboat OperatorsMotorboat Operators
344.,0.62,na,47-2082,TapersTapers
345.,0.62,na,47-2151,PipelayersPipelayers
346.,0.63,na,19-2042,GeoscientistsGeoscientists Except Hydrologists and Geographers
347.,0.63,na,49-9012,Control and Valve Installers and RepairersControl and Valve Installers and Repairers Except Mechanical Door
348.,0.63,na,31-9799,Healthcare Support WorkersHealthcare Support Workers All Other
349.,0.63,na,35-1012,First-Line Supervisors of Food Preparation and Serving WorkersFirst-Line Supervisors of Food Preparation and Serving Workers
